PIC50_RET wild,can_smile,id,id_new,smiles
7.003488328,Cc1cccc(C)c1CN1CCN(c2ccc(-c3cc(-c4cnn(C)c4)cn4ncc(C#N)c34)cn2)CC1,30814473,patent_30814473,CN1C=C(C=N1)C1=CN2N=CC(C#N)=C2C(=C1)C1=CC=C(N=C1)N1CCN(CC2=C(C)C=CC=C2C)CC1
7.002176919,CNCCOc1cc2ncnc(Nc3c(F)ccc(O)c3C)c2cc1OC,,reaxys_28252612,CNCCOC1=C(OC)C=C2C(NC3=C(F)C=CC(O)=C3C)=NC=NC2=C1
7.002176919,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCN1CCCC1,,reaxys_28252637,COC1=C(OCCN2CCCC2)C=C2N=CN=C(NC3=C(F)C=CC(O)=C3C)C2=C1
7.000869459,CC(C)(C)n1nc(-c2ccc3cc(C(=O)Nc4ccn(CCF)n4)[nH]c3c2)c2c(N)ncnc21,,reaxys_33664242,CC(C)(C)N1N=C(C2=C(N)N=CN=C12)C1=CC=C2C=C(NC2=C1)C(=O)NC1=NN(CCF)C=C1
7.000869459,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCC(=O)NC1CCCC1,,reaxys_28252600,COC1=C(OCC(=O)NC2CCCC2)C=C2N=CN=C(NC3=C(C)C(O)=CC=C3F)C2=C1
7,COc1cc2ncnc(Nc3ccc(Br)cc3F)c2cc1OC,,reaxys_13204809,COC1=C(OC)C=C2C(NC3=C(F)C=C(Br)C=C3)=NC=NC2=C1
7,Cc1cc(Nc2cc(C)[nH]n2)nc([C@H]2CC[C@@H](C(=O)NCc3ccc(-n4cccn4)nc3)CC2)n1,,chembl_31224508,n1[nH]c(C)cc1Nc(cc(n2)C)nc2[C@H]3CC[C@H](CC3)C(=O)NCc4cnc(cc4)-n5nccc5
7,Cc1cc(Nc2cc(C)[nH]n2)nc([C@@H]2CC[C@@H](C(=O)NCc3ccc(-n4cccn4)nc3)[C@@H](C)C2)n1,,chembl_31224512,n1[nH]c(C)cc1Nc(cc(n2)C)nc2[C@H]3C[C@H](C)[C@@H](CC3)C(=O)NCc4cnc(cc4)-n5nccc5
7,Cc1cc(Nc2cc(C)[nH]n2)nc([C@@H]2CC[C@@H](C(=O)N[C@@H](C)c3ccc(-n4cc(F)cn4)nc3)[C@@H](C)C2)n1,,chembl_31224520,n1[nH]c(C)cc1Nc(cc(n2)C)nc2[C@H]3C[C@H](C)[C@@H](CC3)C(=O)N[C@@H](C)c4cnc(cc4)-n5cc(F)cn5
7,Cc1cc(Nc2cc(C)[nH]n2)nc([C@@H]2CC[C@@H](C(=O)N[C@@H](C)c3ccc(-n4cc(F)cn4)nc3)C(C)(C)C2)n1,,chembl_31224522,n1cc(F)cn1-c(cc2)ncc2[C@H](C)NC(=O)[C@@H](C3(C)C)CC[C@H](C3)c4nc(cc(n4)C)Nc5cc([nH]n5)C
7,CO[C@]1(C(=O)N[C@@H](C)c2ccc(-n3cc(F)cn3)nc2)CC[C@](O)(c2cc(C)cc(Nc3cc(C)[nH]n3)n2)CC1,,chembl_31224527,n1[nH]c(C)cc1Nc(cc(c2)C)nc2[C@@]3(O)CC[C@](CC3)(OC)C(=O)N[C@@H](C)c4cnc(cc4)-n5cc(F)cn5
7,CO[C@]1(C(=O)N[C@@H](C)c2ccc(-n3cc(F)cn3)nc2)CC[C@@H](c2nc(C)cc(Nc3cc(C)[nH]n3)n2)CC1,,chembl_31224570,n1[nH]c(C)cc1Nc(cc(n2)C)nc2[C@@H](CC3)CC[C@]3(OC)C(=O)N[C@@H](C)c4cnc(cc4)-n5cc(F)cn5
7,Cc1cc(Nc2cc(C)[nH]n2)nc(N2CCC(C(=O)NCc3ccccc3)CC2)n1,,chembl_32301983,n1[nH]c(C)cc1Nc(cc(n2)C)nc2N3CCC(CC3)C(=O)NCc4ccccc4
7,Cc1cc(Nc2cc(C)[nH]n2)nc(N2CCC(O)(C(=O)NCc3ccccc3)CC2)c1,,chembl_32301985,c1ccccc1CNC(=O)C2(O)CCN(CC2)c3nc(cc(c3)C)Nc4cc([nH]n4)C
7,Cc1cc(Nc2cc(C)[nH]n2)nc(N2CCC(O)(C(=O)NCc3ccccc3)CC2)n1,,chembl_32301986,c1ccccc1CNC(=O)C2(O)CCN(CC2)c3nc(cc(n3)C)Nc4cc([nH]n4)C
7,COC1(C(=O)NCc2ccccc2)CCN(c2nc(C)cc(Nc3cc(C)[nH]n3)n2)CC1,,chembl_32301987,c1ccccc1CNC(=O)C2(OC)CCN(CC2)c3nc(cc(n3)C)Nc4cc([nH]n4)C
7,COc1ccc(CNC(=O)C2(O)CCN(c3nc(C)cc(Nc4cc(C)[nH]n4)n3)CC2)cc1,,chembl_32301989,c1cc(OC)ccc1CNC(=O)C2(O)CCN(CC2)c3nc(cc(n3)C)Nc4cc([nH]n4)C
7,COc1ccc([C@H](C)NC(=O)C2(O)CCN(c3nc(C)cc(Nc4cc(C)[nH]n4)n3)CC2)cc1,,chembl_32301999,c1cc(OC)ccc1[C@H](C)NC(=O)C2(O)CCN(CC2)c3nc(cc(n3)C)Nc4cc([nH]n4)C
